"","X","Slope","TrueID","Treatment","PropAlive","Performance","Food","dryweight","Protein","Carbs","LineWeight1","LineWeight2","Enacapsulation","PO","ProPO","Protein.1","BSA.Slope","BSA.Intercept","RealProtein","maxweight","Protein.2","RealProtein.2","Distance","PerformanceSTD","EncapsulationSTD","POSTD","RealProteinSTD","ProPOSTD"
"105",105,0.022093772,1020,"Control",0.712121212,0.015733443,22.6006,5.374259054,1.666020307,1.98847585,0.695,0.714,0.019,0.0007415,0.0004955,0.473,-0.14,0.521,0.45478,9723,1.0292409,1.068171574,2.59415879802482,0.508012326013463,-0.894073442173652,0.0632728573850233,-0.1976697578138,-0.0409607368798634
"106",106,0.011767817,1021,"ULS",0.7,0.008237472,25.4357,6.054938213,1.816481464,1.513734553,NA,NA,NA,NA,NA,NA,NA,NA,NA,10005.6,NA,NA,2.36452896070268,-1.01870149460193,NA,NA,NA,NA
"107",107,0.021502995,1022,"ULS",0.7,0.015052097,20.392,4.84399628,1.453198884,1.21099907,0.764,1.44,0.676,0.001985,0.001615,0.4835,-0.14,0.521,0.45331,8130.4,1.00680555,1.071312523,1.89164101879815,0.369241731140429,0.713002860883161,1.99131818595431,-0.190966743879893,2.22205296025813
"108",108,0.0215729,1023,"ULS",0.7,0.01510103,17.3444,4.112297996,1.233689399,1.028074499,0.713,1.457,0.744,0.00055,0.0002125,0.4705,-0.14,0.521,0.45513,6806.9,1.03458265,1.067423729,1.60590370467817,0.379207976658744,0.879336481290868,-0.233647673713503,-0.199265713512349,-0.613031193592728
"109",109,0.024401094,1024,"ULS",0.7,0.017080766,24.0668,5.726279012,1.717883704,1.431569753,0.643,0.954,0.311,0.0001165,0.000133,0.5675,-0.14,0.521,0.44155,9944.3,0.82732275,1.096440115,2.23618344018849,0.782423292242253,-0.179817307481735,-0.90578892818458,-0.137342632408639,-0.77373649857037
"110",110,0.023020523,1025,"ULS",0.7,0.016114366,18.9152,4.489431368,1.34682941,1.122357842,0.637,0.77,0.133,0.001171,0.000771,0.4925,-0.053,0.26,0.2338975,7229,0.98757525,1.54013121175,1.75317899403907,0.585595391461592,-0.615220019725438,0.729212116428455,0.809526483857055,0.515948842004922
"111",111,0.021846563,1026,"ULS",0.7,0.015292594,16.7349,3.965963141,1.189788942,0.991490785,0.731,0.915,0.184,0.00129,0.0010265,0.5175,-0.14,0.521,0.44855,6932.2,0.93415775,1.081483215,1.54875811644214,0.418224056941388,-0.490469804419658,0.913721480400908,-0.169261746379623,1.03242941334816
"112",112,0.023768711,1027,"ULS",0.7,0.016638098,20.959,4.98012731,1.494038193,1.245031828,0.656,1.752,1.096,0.000821,0.0002665,0.4915,-0.14,0.521,0.45219,8456.3,0.98971195,1.073705627,1.94480188576516,0.692264545157429,1.74035757516606,0.186537516509477,-0.185859685644536,-0.503872873230556
"113",113,0.024093156,1028,"ULS",0.7,0.016865209,18.4191,4.370322719,1.311096816,1.09258068,0.531,0.799,0.268,0.00213,0.001875,0.468,-0.053,0.26,0.235196,8032.2,1.0399244,1.5373567068,1.70666558037437,0.738520527539669,-0.284998861563079,2.21614052020646,0.803605488215437,2.74763005829822
"114",114,0.022267838,1029,"ULS",0.7,0.015587486,21.6638,5.149342742,1.544802823,1.287335686,0.857,1.204,0.347,0.0002415,NA,0.4645,-0.14,0.521,0.45597,8745.8,1.04740285,1.065628901,2.01088262471927,0.478285080655182,-0.0917583319717729,-0.71197657107066,-0.203096007188867,NA
"115",115,0.023959769,1030,"ULS",0.7,0.016771839,18.0713,4.286819417,1.286045825,1.071704854,0.556,2.283,1.727,0.000442,0.000104,0.451,-0.14,0.521,0.45786,8849,1.0762483,1.061590538,1.67405649787786,0.719503742465279,3.28383572924345,-0.401101550259931,-0.211714167961033,-0.832358559505611
"116",116,0.023134541,1031,"ULS",0.7,0.016194179,11.0891,2.610463019,0.783138906,0.652615755,0.63,1.457,0.827,0.0008415,0.00171,0.501,-0.053,0.26,0.233447,7135.4,0.9694133,1.5410937951,1.01941839779607,0.601851005332667,1.08236134149439,0.21832274307616,0.811580706834759,2.41409074608047
"117",117,0.023841111,1032,"ULS",0.7,0.016688778,23.8147,5.665752323,1.699725697,1.416438081,0.612,0.655,0.043,0.002315,0.001096,0.4535,-0.053,0.26,0.2359645,8257.2,1.07090655,1.53571465285,2.21254701246077,0.702586604358137,-0.835367458500344,2.50298280873506,0.800101225488765,1.17292021455503
"118",118,0.022166337,1033,"ULS",0.7,0.015516436,24.7176,5.882529584,1.764758875,1.470632396,0.606,1.103,0.497,0.000454,0.000204,0.496,-0.14,0.521,0.45156,8572.5,0.9800968,1.075051748,2.29720123869372,0.463814237991206,0.275154065986404,-0.382495563976994,-0.182986965387147,-0.630213521797885
"119",119,0.022684742,1034,"ULS",0.7,0.015879319,25.5536,6.083244824,1.824973447,1.520811206,0.703,1.547,0.844,0.00174,0.0014775,0.4555,-0.053,0.26,0.2358585,8711.4,1.06663315,1.53594114305,2.3755830456017,0.537723074000093,1.12394474659632,1.61144596601102,0.800584572071754,1.94410353341001
"120",120,0.023010225,1035,"ULS",0.7,0.016107158,16.9569,4.019263121,1.205778936,1.00481578,0.6,NA,NA,0.001975,0.00113,0.533,-0.053,0.26,0.231751,7235.4,0.9010389,1.5447176383,1.56957242401818,0.584127329055935,NA,1.97581319738519,0.819314252162586,1.24164952737566
"121",121,0.014505401,1036,"ULS",0.7,0.010153781,35.7788,8.538213092,2.561463928,2.134553273,0.578,1.373,NA,8.315e-05,9.17e-05,0.443,-0.14,0.521,0.45898,8691.8,1.0933419,1.059197434,3.33427880203804,-0.628404435705932,NA,-0.957498065062574,-0.216821226196391,-0.857222399143661
"122",122,0.024145417,1037,"ULS",0.7,0.016901792,18.8107,4.464341963,1.339302589,1.116085491,0.694,0.985,0.291,0.0005585,0.0004125,0.459,-0.053,0.26,0.235673,8936.6,1.0591547,1.5363375009,1.74338126871973,0.74597143305939,-0.228738960542825,-0.220468433429757,0.801430428591985,-0.208741118177276
"123",123,0.018410483,1038,"ULS",0.7,0.012887338,26.0094,6.192677846,1.857803354,1.548169462,NA,NA,NA,NA,NA,NA,NA,NA,NA,6162.2,NA,NA,2.41831800745953,-0.0716574510471152,NA,NA,NA,NA
"124",124,0.02225156,1039,"ULS",0.7,0.015576092,25.0717,5.967545453,1.790263636,1.491886363,0.665,0.974,0.309,0.0007585,0.000108,0.4555,-0.14,0.521,0.45723,8022.1,1.06663315,1.062936659,2.33040099692935,0.475964450376317,-0.184709472787844,0.0896313379525165,-0.208841447703644,-0.824272757997302
"125",125,0.021998493,1040,"ULS",0.7,0.015398945,29.6337,7.062836033,2.11885081,1.765709008,0.817,0.982,0.165,0.00035,0.0001915,0.477,-0.14,0.521,0.45422,9534.6,1.0206941,1.069368126,2.75812564180278,0.439884698576243,-0.536945374827694,-0.543747445095776,-0.195116228696121,-0.65548165151135
"126",126,0.013979372,1041,"MP",0.55,0.007688654,12.8458,3.032229122,0.697412698,1.152247066,0.759,0.924,0.165,6.675e-05,0.0008675,0.3115,-0.14,0.521,0.47739,3858.5,1.37431795,1.019860787,1.34686961968754,-1.13047994539936,-0.536945374827694,-0.982926246315921,-0.300768495940079,0.711018803392877
"127",127,0.014201348,1042,"MP",0.55,0.007810741,27.3317,6.510148853,1.497334236,2.473856564,0.438,0.618,0.18,0.000242,0.000475,0.4,-0.14,0.521,0.465,6578,1.18522,1.0463345,2.89170816534857,-1.10561433289666,-0.500254135031876,-0.711201321642204,-0.244271664211437,-0.0824004696099471
"128",128,0.01222758,1043,"MP",0.55,0.006725169,30.8667,7.358867003,1.692539411,2.796369461,0.763,0.905,0.142,0.00022085,0.0002335,0.6,-0.14,0.521,0.437,8133.1,0.75788,1.1061621,3.26869573686534,-1.32671414447185,-0.593205275847947,-0.743994372465879,-0.116595208327499,-0.570580735674105
"129",129,0.012851484,1045,"MP",0.55,0.007068316,32.2163,7.682892467,1.767065267,2.919499137,NA,NA,NA,NA,NA,NA,NA,NA,NA,7937.5,NA,NA,3.41262287233464,-1.25682496435059,NA,NA,NA,NA
"130",130,0.014952793,1046,"MP",0.55,0.008224036,30.6728,7.312313552,1.681832117,2.77867915,NA,NA,NA,NA,NA,NA,NA,NA,NA,6886.6,NA,NA,3.2480174088846,-1.02143802158339,NA,NA,NA,NA
"131",131,0.014083254,1047,"MP",0.55,0.00774579,40.0325,9.559483925,2.198681303,3.632603892,0.758,0.862,0.104,2.5e-05,3e-04,0.419,-0.14,0.521,0.46234,7065.6,1.1446227,1.052018122,4.24617598650072,-1.11884298457672,-0.686156416664019,-1.04765957359197,-0.232142400902463,-0.436154285598468
"132",132,0.014476901,1048,"MP",0.55,0.007962295,30.1346,7.183097114,1.652112336,2.729576903,0.597,1.303,0.706,0.000233,7.5e-05,0.47,-0.14,0.521,0.4552,7655.9,1.035651,1.06727416,3.19062145046297,-1.07474713952444,0.786385340474796,-0.725155811354406,-0.199584904652059,-0.890980620440851
"133",133,0.016825574,1049,"MP",0.55,0.009254066,12.7151,3.000849359,0.690195353,1.140322756,0.636,0.929,0.293,0.00014585,0.000217,0.294,-0.14,0.521,0.47984,3423.7,1.4117102,1.014625872,1.3329312109611,-0.811650518850461,-0.223846795236716,-0.860281786734232,-0.311940185829924,-0.60393466689588
"134",134,0.014304253,1050,"MP",0.55,0.007867339,34.4506,8.219325554,1.890444877,3.123343711,0.815,1.133,0.318,6.67e-05,6.67e-05,0.3675,-0.14,0.521,0.46955,9914.8,1.25466275,1.036612515,3.65089821414112,-1.09408694720918,-0.162694728910354,-0.983003771258766,-0.265019088292577,-0.907758658570592
"135",135,0.013240431,1051,"MP",0.55,0.007282237,17.7549,4.210854941,0.968496636,1.600124878,0.614,0.677,0.063,0.0001875,0.0003795,0.2525,-0.14,0.521,0.48565,9335.4,1.50038325,1.002211645,1.87039711268432,-1.2132554058211,-0.786445805439254,-0.795703509343873,-0.338433050425842,-0.275448980620825
"136",136,0.012353297,1052,"MP",0.55,0.006794313,15.73,3.7246967,0.856680241,1.415384746,0.599,0.604,0.005,0.000267,0.0006425,0.603,-0.14,0.521,0.43658,5291.9,0.7514699,1.107059514,1.65445308622798,-1.3126314992198,-0.928318599316415,-0.67243885021942,-0.11468006148924,0.256192468550494
"137",137,0.012613201,1053,"MP",0.55,0.006937261,28.1707,6.711584363,1.543664403,2.550402058,0.714,0.926,0.212,0.0004625,0.000571,0.249,-0.14,0.521,0.48614,6643.6,1.5078617,1.001164662,2.98118272612398,-1.28351710066766,-0.421979490134132,-0.369316323693248,-0.34066738840381,0.11165876658947
"138",138,0.011739346,1054,"MP",0.55,0.00645664,22.4156,5.329842404,1.225863753,2.025340114,0.555,0.74,0.185,9.15e-05,0.0005335,0.2795,-0.14,0.521,0.48187,5587,1.44269235,1.010288371,2.36743416345561,-1.38140578289148,-0.488023721766604,-0.944551399607365,-0.32119672888151,0.0358543774490726
